num_samples,time_bits,shots,shots_per_sample,runs,exact_reconstruction_successes,empirical_exact_reconstruction_rate,exact_rate_wilson_95_low,exact_rate_wilson_95_high,theoretical_full_coverage_probability,exact_rate_absolute_error,coverage_fraction_mean,coverage_fraction_std,theoretical_expected_coverage_fraction,coverage_mean_absolute_error,missing_indices_mean,missing_indices_std,theoretical_expected_missing_indices,time_distribution_tvd_mean,time_distribution_tvd_std,count_coefficient_of_variation_mean,count_coefficient_of_variation_std
8,3,128,16.0,50,50,1.0,0.9286524008666414,1.0,0.9999996979208366,3.0207916335012186e-07,1.0,0.0,0.9999999622401042,3.775989576570993e-08,0.0,0.0,3.020791661788543e-07,0.09203125,0.028026062516268966,0.2227281149721088,0.06377524950927675
8,3,256,32.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999885,1.1546319456101628e-14,1.0,0.0,0.9999999999999986,1.4432899320127035e-15,0.0,0.0,1.1406477829913981e-14,0.0653125,0.01854224290647038,0.1609558348568645,0.04141760754590116
8,3,512,64.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0,1.0,0.0,0.0,0.0,1.6263467060539897e-29,0.0457421875,0.012130636268403541,0.10922849282177965,0.02863406270194308
8,3,1024,128.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0,1.0,0.0,0.0,0.0,3.306254510365828e-59,0.03392578125,0.00794787153488208,0.08140543422204294,0.018576431595048078
8,3,2048,256.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0,1.0,0.0,0.0,0.0,1.3664148609142976e-118,0.02302734375,0.0064486936477735415,0.05560424995284353,0.015123003572031628
8,3,4096,512.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.0,1.0,0.0,0.0,0.0,2.3338619651592995e-237,0.0164306640625,0.004955574826205524,0.039900547277915185,0.01173496200105728
16,4,4,0.25,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.22625,0.033144127130840334,0.2275238037109375,0.0012738037109374933,12.38,0.5303060340934453,12.359619140625,0.77375,0.033144127130840334,1.9216906554153017,0.2616763558164464
16,4,8,0.5,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.415,0.057532156048525046,0.4032805261667818,0.011719473833218197,9.36,0.9205144967764007,9.547511581331491,0.585,0.057532156048525046,1.3096459222988577,0.21387474449459234
16,4,16,1.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.1342267125513672e-06,1.1342267125513672e-06,0.63125,0.07706552009657174,0.6439258695482072,0.012675869548207208,5.9,1.2330483215451478,5.697186087228685,0.36875,0.07706552009657174,0.9667339234581024,0.16880589394906395
16,4,32,2.0,50,4,0.08,0.03154951408859298,0.18838246918342838,0.07344332174910778,0.00655667825089222,0.8725,0.07571933945397925,0.8732112136229997,0.0007112136229996402,2.04,1.211509431263668,2.028620582032006,0.268125,0.05720211770912125,0.6753534893895686,0.12935343281472253
16,4,64,4.0,50,41,0.82,0.6920394632569922,0.9022980732976582,0.7651819782759121,0.054818021724087895,0.9875,0.028234621965789103,0.9839246036490473,0.00357539635095272,0.2,0.45175395145262565,0.2572063416152421,0.19125,0.04074012338053512,0.47492274662432765,0.09572299927716961
16,4,128,8.0,50,50,1.0,0.9286524008666414,1.0,0.9958698356968486,0.004130164303151385,1.0,0.0,0.9997415816321598,0.00025841836784024075,0.0,0.0,0.004134693885443539,0.1378125,0.028268130695364418,0.3388150940294225,0.06598416676063654
16,4,256,16.0,50,50,1.0,0.9286524008666414,1.0,0.9999989315193252,1.0684806748262332e-06,1.0,0.0,0.9999999332199472,6.678005282090282e-08,0.0,0.0,1.0684808453952617e-06,0.098203125,0.01994944508340625,0.2394050084304431,0.046924800766318074
16,4,512,32.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999278,7.216449660063518e-14,1.0,0.0,0.9999999999999956,4.440892098500626e-15,0.0,0.0,7.135320731103582e-14,0.0698046875,0.011670887056753055,0.17459002891967185,0.02714163687253512
16,4,1024,64.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999984,1.5543122344752192e-15,1.0,0.0,1.0,0.0,0.0,0.0,3.182050120982285e-28,0.0490234375,0.009445485982037254,0.11964411310678816,0.022869565969989337
16,4,2048,128.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999984,1.5543122344752192e-15,1.0,0.0,1.0,0.0,0.0,0.0,6.328401857777108e-57,0.03369140625,0.00634650634698341,0.08235239066614862,0.014330948600101045
16,4,4096,256.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999984,1.5543122344752192e-15,1.0,0.0,1.0,0.0,0.0,0.0,2.5030418795947976e-114,0.0242919921875,0.004255951326607018,0.05978956470327725,0.010525246197234642
32,5,4,0.125,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.11875,0.012626906806902635,0.1192617416381836,0.0005117416381835993,28.2,0.4040610178208843,28.183624267578125,0.88125,0.012626906806902635,2.7799260069227527,0.2710738208712823
32,5,8,0.25,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.226875,0.0258851589541504,0.22430012025779433,0.00257487974220566,24.74,0.8283250865328128,24.82239615175058,0.773125,0.0258851589541504,1.9310862812785405,0.22791372843691896
32,5,16,0.5,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0.0,0.0,0.404375,0.04062745283019092,0.3982896965679277,0.006085303432072309,19.06,1.3000784905661094,19.254729709826314,0.595625,0.04062745283019092,1.3609324038837163,0.16861679794817303
32,5,32,1.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,1.8004142466391047e-13,1.8004142466391047e-13,0.635,0.048675047037282176,0.6379447107436834,0.0029447107436834097,11.68,1.5576015051930296,11.58576925620213,0.365,0.048675047037282176,0.9732873256758375,0.11389120156829333
32,5,64,2.0,50,1,0.02,0.003539259271646236,0.10495443589637815,0.004181941219586064,0.015818058780413938,0.864375,0.04750218174366482,0.868915967521525,0.004540967521524997,4.34,1.5200698157972743,4.194689039311202,0.2659375,0.032880002238349644,0.6869914437454032,0.07933239437037798
32,5,128,4.0,50,31,0.62,0.4815044693099298,0.7413721068980641,0.5628871097251851,0.05711289027481492,0.984375,0.02209708691207961,0.9828169764291821,0.0015580235708179124,0.5,0.7071067811865476,0.5498567542661729,0.19015625,0.02396878700140826,0.4822633819386205,0.06313579017599422
32,5,256,8.0,50,50,1.0,0.9286524008666414,1.0,0.990584865027843,0.009415134972156958,1.0,0.0,0.9997047437009647,0.0002952562990352625,0.0,0.0,0.009448201569129075,0.137265625,0.017017985086556223,0.3429269126458008,0.04303765654442697
32,5,512,16.0,50,50,1.0,0.9286524008666414,1.0,0.9999972103611836,2.789638816391715e-06,1.0,0.0,0.9999999128237179,8.717628208199102e-08,0.0,0.0,2.7896410278404102e-06,0.0978515625,0.012028550108705285,0.24305119595322583,0.030497034118201788
32,5,1024,32.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999997561,2.439159985101469e-13,1.0,0.0,0.9999999999999925,7.549516567451064e-15,0.0,0.0,2.4319053325657815e-13,0.070546875,0.010836099523989883,0.1767286740798707,0.024702938052782987
32,5,2048,64.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999978,2.220446049250313e-15,1.0,0.0,1.0,0.0,0.0,0.0,1.8481761083005888e-27,0.048818359375,0.006449546201988572,0.11977304608469957,0.014010975973665261
32,5,4096,128.0,50,50,1.0,0.9286524008666414,1.0,0.9999999999999978,2.220446049250313e-15,1.0,0.0,1.0,0.0,0.0,0.0,1.0674234147790968e-55,0.0344970703125,0.004340849512205657,0.08541340261841829,0.009637578582700616
