num_samples,time_bits,shots,shots_per_sample,seed,observed_indices,missing_indices,coverage_fraction,exact_reconstruction,minimum_index_count,maximum_index_count,count_standard_deviation,count_coefficient_of_variation,time_distribution_tvd
4,2,8,2.0,442,3,1,0.75,False,0,3,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,452,3,1,0.75,False,0,4,1.5811388300841898,0.7905694150420949,0.375
4,2,8,2.0,462,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,472,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,482,4,0,1.0,True,1,3,1.0,0.5,0.25
4,2,8,2.0,492,4,0,1.0,True,1,3,0.7071067811865476,0.3535533905932738,0.125
4,2,8,2.0,502,4,0,1.0,True,1,4,1.224744871391589,0.6123724356957945,0.25
4,2,8,2.0,512,3,1,0.75,False,0,4,1.5811388300841898,0.7905694150420949,0.375
4,2,8,2.0,522,2,2,0.5,False,0,5,2.1213203435596424,1.0606601717798212,0.5
4,2,8,2.0,532,4,0,1.0,True,1,5,1.7320508075688772,0.8660254037844386,0.375
4,2,16,4.0,42,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,52,4,0,1.0,True,4,4,0.0,0.0,0.0
4,2,16,4.0,62,4,0,1.0,True,2,5,1.224744871391589,0.30618621784789724,0.125
4,2,16,4.0,72,3,1,0.75,False,0,6,2.449489742783178,0.6123724356957945,0.25
4,2,16,4.0,82,4,0,1.0,True,1,9,3.082207001484488,0.770551750371122,0.3125
4,2,16,4.0,92,4,0,1.0,True,2,6,1.4142135623730951,0.3535533905932738,0.125
4,2,16,4.0,102,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,112,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,122,4,0,1.0,True,2,6,1.4142135623730951,0.3535533905932738,0.125
4,2,16,4.0,132,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,142,4,0,1.0,True,1,7,2.23606797749979,0.5590169943749475,0.25
4,2,16,4.0,152,4,0,1.0,True,2,8,2.345207879911715,0.5863019699779287,0.25
4,2,16,4.0,162,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,172,4,0,1.0,True,2,7,1.8708286933869707,0.46770717334674267,0.1875
4,2,16,4.0,182,4,0,1.0,True,2,5,1.224744871391589,0.30618621784789724,0.125
4,2,16,4.0,192,4,0,1.0,True,1,6,1.8708286933869707,0.46770717334674267,0.1875
4,2,16,4.0,202,4,0,1.0,True,3,6,1.224744871391589,0.30618621784789724,0.125
4,2,16,4.0,212,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,222,4,0,1.0,True,3,5,1.0,0.25,0.125
4,2,16,4.0,232,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,242,4,0,1.0,True,2,7,1.8708286933869707,0.46770717334674267,0.1875
4,2,16,4.0,252,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,262,4,0,1.0,True,2,6,1.4142135623730951,0.3535533905932738,0.125
4,2,16,4.0,272,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,282,4,0,1.0,True,2,6,1.4142135623730951,0.3535533905932738,0.125
4,2,16,4.0,292,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,302,3,1,0.75,False,0,7,2.5495097567963922,0.6373774391990981,0.25
4,2,16,4.0,312,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,322,4,0,1.0,True,3,5,0.7071067811865476,0.1767766952966369,0.0625
4,2,16,4.0,332,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,342,4,0,1.0,True,2,6,1.4142135623730951,0.3535533905932738,0.125
4,2,16,4.0,352,4,0,1.0,True,3,5,1.0,0.25,0.125
4,2,16,4.0,362,4,0,1.0,True,2,6,1.5811388300841898,0.39528470752104744,0.1875
4,2,16,4.0,372,4,0,1.0,True,2,5,1.224744871391589,0.30618621784789724,0.125
4,2,16,4.0,382,4,0,1.0,True,3,6,1.224744871391589,0.30618621784789724,0.125
4,2,16,4.0,392,4,0,1.0,True,2,7,1.8708286933869707,0.46770717334674267,0.1875
4,2,16,4.0,402,4,0,1.0,True,3,6,1.224744871391589,0.30618621784789724,0.125
