family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,num_samples,amplitude_bits,time_bits,total_qubits,data_seed,seed_transpiler,optimization_level,transpiled_depth,transpiled_size,transpiled_cx_count
readout,high,3,0.0,0.0,0.02,42,0.01609779999125749,1024,4,1.0,4,1.0,0.0,0.888671875,0.0380859375,0.111328125,0.013671875,True,4,4,2,6,42,42,1,95,153,54
readout,high,3,0.0,0.0,0.02,52,0.016778600052930415,1024,4,1.0,4,1.0,0.0,0.8759765625,0.041015625,0.1259765625,0.029296875,True,4,4,2,6,42,42,1,95,153,54
readout,high,3,0.0,0.0,0.02,62,0.01829650008585304,1024,4,1.0,4,1.0,0.0,0.9111328125,0.032958984375,0.095703125,0.03125,True,4,4,2,6,42,42,1,95,153,54
readout,high,3,0.0,0.0,0.02,72,0.01731090003158897,1024,4,1.0,4,1.0,0.0,0.9111328125,0.028076171875,0.0888671875,0.013671875,True,4,4,2,6,42,42,1,95,153,54
readout,high,3,0.0,0.0,0.02,82,0.016652699909172952,1024,4,1.0,4,1.0,0.0,0.8798828125,0.046142578125,0.1201171875,0.0205078125,True,4,4,2,6,42,42,1,95,153,54
combined,high,3,0.002,0.02,0.02,42,0.032643500017002225,1024,4,1.0,4,1.0,0.0,0.494140625,0.227294921875,0.505859375,0.013671875,True,4,4,2,6,42,42,1,95,153,54
combined,high,3,0.002,0.02,0.02,52,0.03132730000652373,1024,4,1.0,4,1.0,0.0,0.4462890625,0.2431640625,0.5537109375,0.029296875,True,4,4,2,6,42,42,1,95,153,54
combined,high,3,0.002,0.02,0.02,62,0.03369040007237345,1024,4,1.0,4,1.0,0.0,0.4638671875,0.240966796875,0.5361328125,0.03125,True,4,4,2,6,42,42,1,95,153,54
combined,high,3,0.002,0.02,0.02,72,0.033359199995175004,1024,4,1.0,4,1.0,0.0,0.4619140625,0.2392578125,0.5380859375,0.013671875,True,4,4,2,6,42,42,1,95,153,54
combined,high,3,0.002,0.02,0.02,82,0.03080870001576841,1024,4,1.0,4,1.0,0.0,0.43359375,0.255126953125,0.56640625,0.0205078125,True,4,4,2,6,42,42,1,95,153,54
gate,severe,4,0.005,0.05,0.0,42,0.028001899947412312,1024,4,1.0,4,1.0,0.0,0.234375,0.354248046875,0.765625,0.021484375,True,4,4,2,6,42,42,1,95,153,54
gate,severe,4,0.005,0.05,0.0,52,0.026785299996845424,1024,4,1.0,4,1.0,0.0,0.2158203125,0.353759765625,0.7841796875,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,severe,4,0.005,0.05,0.0,62,0.033446599962189794,1024,4,1.0,4,1.0,0.0,0.22265625,0.368408203125,0.77734375,0.03125,True,4,4,2,6,42,42,1,95,153,54
gate,severe,4,0.005,0.05,0.0,72,0.024551199981942773,1024,4,1.0,4,1.0,0.0,0.2236328125,0.38134765625,0.7763671875,0.015625,True,4,4,2,6,42,42,1,95,153,54
gate,severe,4,0.005,0.05,0.0,82,0.025693300063721836,1024,4,1.0,4,1.0,0.0,0.21484375,0.376953125,0.78515625,0.0322265625,True,4,4,2,6,42,42,1,95,153,54
readout,severe,4,0.0,0.0,0.05,42,0.025522399926558137,1024,4,1.0,4,1.0,0.0,0.73046875,0.09033203125,0.26953125,0.015625,True,4,4,2,6,42,42,1,95,153,54
readout,severe,4,0.0,0.0,0.05,52,0.017053799936547875,1024,4,1.0,4,1.0,0.0,0.71875,0.101318359375,0.28125,0.0283203125,True,4,4,2,6,42,42,1,95,153,54
readout,severe,4,0.0,0.0,0.05,62,0.01678929990157485,1024,4,1.0,4,1.0,0.0,0.724609375,0.10205078125,0.275390625,0.029296875,True,4,4,2,6,42,42,1,95,153,54
readout,severe,4,0.0,0.0,0.05,72,0.01641190005466342,1024,4,1.0,4,1.0,0.0,0.74609375,0.083251953125,0.25390625,0.0126953125,True,4,4,2,6,42,42,1,95,153,54
readout,severe,4,0.0,0.0,0.05,82,0.016713500022888184,1024,4,1.0,4,1.0,0.0,0.7431640625,0.091552734375,0.2568359375,0.0224609375,True,4,4,2,6,42,42,1,95,153,54
combined,severe,4,0.005,0.05,0.05,42,0.02826129994355142,1024,4,1.0,4,1.0,0.0,0.18359375,0.375244140625,0.81640625,0.015625,True,4,4,2,6,42,42,1,95,153,54
combined,severe,4,0.005,0.05,0.05,52,0.03182789997663349,1024,4,1.0,4,1.0,0.0,0.1669921875,0.3828125,0.8330078125,0.0283203125,True,4,4,2,6,42,42,1,95,153,54
combined,severe,4,0.005,0.05,0.05,62,0.02911650005262345,1024,4,1.0,4,1.0,0.0,0.18359375,0.395263671875,0.81640625,0.029296875,True,4,4,2,6,42,42,1,95,153,54
combined,severe,4,0.005,0.05,0.05,72,0.029206300037913024,1024,4,1.0,4,1.0,0.0,0.177734375,0.39892578125,0.822265625,0.0126953125,True,4,4,2,6,42,42,1,95,153,54
combined,severe,4,0.005,0.05,0.05,82,0.03127789997961372,1024,4,1.0,4,1.0,0.0,0.181640625,0.399658203125,0.818359375,0.0224609375,True,4,4,2,6,42,42,1,95,153,54
ideal,ideal,0,0.0,0.0,0.0,42,0.029207499930635095,1024,8,1.0,8,1.0,0.0,1.0,0.0,0.0419921875,0.0419921875,True,8,4,3,7,42,42,1,454,557,236
ideal,ideal,0,0.0,0.0,0.0,52,0.03015789994969964,1024,8,1.0,8,1.0,0.0,1.0,0.0,0.0595703125,0.0595703125,True,8,4,3,7,42,42,1,454,557,236
ideal,ideal,0,0.0,0.0,0.0,62,0.03202929999679327,1024,8,1.0,8,1.0,0.0,1.0,0.0,0.0439453125,0.0439453125,True,8,4,3,7,42,42,1,454,557,236
ideal,ideal,0,0.0,0.0,0.0,72,0.032812400022521615,1024,8,1.0,8,1.0,0.0,1.0,0.0,0.0283203125,0.0283203125,True,8,4,3,7,42,42,1,454,557,236
ideal,ideal,0,0.0,0.0,0.0,82,0.030811200034804642,1024,8,1.0,8,1.0,0.0,1.0,0.0,0.041015625,0.041015625,True,8,4,3,7,42,42,1,454,557,236
gate,low,1,0.0005,0.005,0.0,42,0.16873489995487034,1024,8,1.0,8,1.0,0.0,0.48046875,0.225830078125,0.51953125,0.0419921875,True,8,4,3,7,42,42,1,454,557,236
gate,low,1,0.0005,0.005,0.0,52,0.1678548000054434,1024,8,1.0,8,1.0,0.0,0.4736328125,0.23291015625,0.5263671875,0.0595703125,True,8,4,3,7,42,42,1,454,557,236
gate,low,1,0.0005,0.005,0.0,62,0.1581233999459073,1024,8,1.0,8,1.0,0.0,0.4736328125,0.241943359375,0.5263671875,0.0439453125,True,8,4,3,7,42,42,1,454,557,236
gate,low,1,0.0005,0.005,0.0,72,0.17078939999919385,1024,8,1.0,8,1.0,0.0,0.46875,0.2392578125,0.53125,0.0283203125,True,8,4,3,7,42,42,1,454,557,236
gate,low,1,0.0005,0.005,0.0,82,0.18501439993269742,1024,8,1.0,8,1.0,0.0,0.4853515625,0.22998046875,0.5146484375,0.041015625,True,8,4,3,7,42,42,1,454,557,236
readout,low,1,0.0,0.0,0.005,42,0.03687690000515431,1024,8,1.0,8,1.0,0.0,0.96875,0.010009765625,0.056640625,0.0390625,True,8,4,3,7,42,42,1,454,557,236
readout,low,1,0.0,0.0,0.005,52,0.03692420001607388,1024,8,1.0,8,1.0,0.0,0.9658203125,0.01025390625,0.068359375,0.064453125,True,8,4,3,7,42,42,1,454,557,236
readout,low,1,0.0,0.0,0.005,62,0.03964879992417991,1024,8,1.0,8,1.0,0.0,0.974609375,0.00732421875,0.0546875,0.04296875,True,8,4,3,7,42,42,1,454,557,236
