condition,gate_error_enabled,readout_error_enabled,thermal_relaxation_enabled,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,backend_name,backend_class,backend_num_qubits,num_samples,amplitude_bits,time_bits,logical_qubits,data_seed,optimization_level,seed_transpiler,initial_layout,final_layout,transpiled_depth,transpiled_size,selected_readout_error_mean,selected_readout_error_max,selected_t1_seconds_mean,selected_t2_seconds_mean,two_qubit_gate_count,swap_count,calibrated_gate_count,missing_calibration_count,calibration_error_budget,independent_gate_success_proxy,calibrated_duration_seconds
full_calibration,True,True,True,42,0.11425290000624955,2048,4,1.0,4,1.0,0.0,0.4111328125,0.246337890625,0.5888671875,0.01123046875,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
full_calibration,True,True,True,52,0.11368959990795702,2048,4,1.0,4,1.0,0.0,0.40576171875,0.24853515625,0.59423828125,0.01806640625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
full_calibration,True,True,True,62,0.1097518999595195,2048,4,1.0,4,1.0,0.0,0.404296875,0.2469482421875,0.595703125,0.0087890625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,52,4-1-2-5-3-0,5-0-2-4-3-1,188,255,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,92,0,249,0,0.7896048515821539,0.4540241667720056,3.6266666666666656e-05
ideal,False,False,False,42,0.021634100005030632,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.01318359375,0.01318359375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
ideal,False,False,False,52,0.02136310003697872,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.005859375,0.005859375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
ideal,False,False,False,62,0.0207674999255687,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.0224609375,0.0224609375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
readout_only,False,True,False,42,0.04588209989015013,2048,4,1.0,4,1.0,0.0,0.8779296875,0.042724609375,0.1220703125,0.01318359375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
readout_only,False,True,False,52,0.045489100040867925,2048,4,1.0,4,1.0,0.0,0.873046875,0.0447998046875,0.126953125,0.00537109375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
readout_only,False,True,False,62,0.04884439997840673,2048,4,1.0,4,1.0,0.0,0.8974609375,0.0367431640625,0.1025390625,0.02490234375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
gate_thermal,True,False,True,42,0.09581279999110848,2048,4,1.0,4,1.0,0.0,0.42529296875,0.234375,0.57470703125,0.01611328125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
