study,profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,runs,sample_hamming_weight_mean,sample_hamming_weight_std,sample_hamming_weight_min,sample_hamming_weight_max,sample_bit_density_mean,sample_bit_density_std,sample_bit_density_min,sample_bit_density_max,build_seconds_mean,build_seconds_std,build_seconds_min,build_seconds_max,transpile_seconds_mean,transpile_seconds_std,transpile_seconds_min,transpile_seconds_max,raw_depth_mean,raw_depth_std,raw_depth_min,raw_depth_max,raw_size_mean,raw_size_std,raw_size_min,raw_size_max,transpiled_depth_mean,transpiled_depth_std,transpiled_depth_min,transpiled_depth_max,transpiled_size_mean,transpiled_size_std,transpiled_size_min,transpiled_size_max,transpiled_cx_count_mean,transpiled_cx_count_std,transpiled_cx_count_min,transpiled_cx_count_max,transpiled_single_qubit_count_mean,transpiled_single_qubit_count_std,transpiled_single_qubit_count_min,transpiled_single_qubit_count_max,depth_overhead_ratio_mean,depth_overhead_ratio_std,depth_overhead_ratio_min,depth_overhead_ratio_max,size_overhead_ratio_mean,size_overhead_ratio_std,size_overhead_ratio_min,size_overhead_ratio_max
amplitude_resolution,dense,8,3,3,6,64,1,24.0,0.0,24.0,24.0,1.0,0.0,1.0,1.0,0.001799000077880919,0.0,0.001799000077880919,0.001799000077880919,0.00956550007686019,0.0,0.00956550007686019,0.00956550007686019,37.0,0.0,37.0,37.0,51.0,0.0,51.0,51.0,633.0,0.0,633.0,633.0,733.0,0.0,733.0,733.0,332.0,0.0,332.0,332.0,401.0,0.0,401.0,401.0,17.10810810810811,0.0,17.10810810810811,17.10810810810811,14.372549019607844,0.0,14.372549019607844,14.372549019607844
amplitude_resolution,sparse,8,4,3,7,128,1,8.0,0.0,8.0,8.0,0.25,0.0,0.25,0.25,0.0008258000016212463,0.0,0.0008258000016212463,0.0008258000016212463,0.011180600035004318,0.0,0.011180600035004318,0.011180600035004318,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,213.0,0.0,213.0,213.0,275.0,0.0,275.0,275.0,106.0,0.0,106.0,106.0,169.0,0.0,169.0,169.0,10.142857142857142,0.0,10.142857142857142,10.142857142857142,7.857142857142857,0.0,7.857142857142857,7.857142857142857
amplitude_resolution,random,8,4,3,7,128,5,16.8,1.9235384061671346,15.0,20.0,0.525,0.060110575192722955,0.46875,0.625,0.0016440000152215361,0.0005706279395523444,0.001202200073748827,0.002641799976117909,0.012394000007770956,0.003823203160485118,0.00906599999871105,0.017679000040516257,29.8,1.9235384061671346,28.0,33.0,43.8,1.9235384061671346,42.0,47.0,393.0,42.23742416388575,339.0,453.0,481.4,46.75788703523717,421.0,550.0,202.4,23.03909720453473,174.0,236.0,279.0,23.98958107179031,247.0,314.0,13.17125093297507,0.86021894641717,12.107142857142858,13.89655172413793,10.975314286571091,0.6833881459808762,10.023809523809524,11.702127659574469
amplitude_resolution,dense,8,4,3,7,128,1,32.0,0.0,32.0,32.0,1.0,0.0,1.0,1.0,0.002285800059325993,0.0,0.002285800059325993,0.002285800059325993,0.009131499915383756,0.0,0.009131499915383756,0.009131499915383756,45.0,0.0,45.0,45.0,59.0,0.0,59.0,59.0,839.0,0.0,839.0,839.0,971.0,0.0,971.0,971.0,442.0,0.0,442.0,442.0,529.0,0.0,529.0,529.0,18.644444444444446,0.0,18.644444444444446,18.644444444444446,16.45762711864407,0.0,16.45762711864407,16.45762711864407
amplitude_resolution,sparse,8,5,3,8,256,1,8.0,0.0,8.0,8.0,0.2,0.0,0.2,0.2,0.0008552001090720296,0.0,0.0008552001090720296,0.0008552001090720296,0.006645399960689247,0.0,0.006645399960689247,0.006645399960689247,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,211.0,0.0,211.0,211.0,281.0,0.0,281.0,281.0,104.0,0.0,104.0,104.0,177.0,0.0,177.0,177.0,10.047619047619047,0.0,10.047619047619047,10.047619047619047,8.028571428571428,0.0,8.028571428571428,8.028571428571428
amplitude_resolution,random,8,5,3,8,256,5,21.4,3.0495901363953815,18.0,25.0,0.535,0.07623975340988452,0.45,0.625,0.0016010000137612224,0.00018392583280135976,0.001384100061841309,0.001812300062738359,0.009955319995060562,0.0007903035532405233,0.009090500068850815,0.010825999896042049,34.4,3.0495901363953815,31.0,38.0,48.4,3.0495901363953815,45.0,52.0,490.0,55.90169943749474,406.0,535.0,598.4,67.10663156499513,498.0,656.0,255.6,29.644561052577586,212.0,282.0,342.8,37.49266594948937,286.0,374.0,14.230921339420915,0.85759136345188,13.096774193548388,15.5,12.339756377467374,0.8154135029784104,11.066666666666666,13.291666666666666
amplitude_resolution,dense,8,5,3,8,256,1,40.0,0.0,40.0,40.0,1.0,0.0,1.0,1.0,0.002567299990914762,0.0,0.002567299990914762,0.002567299990914762,0.009981099981814623,0.0,0.009981099981814623,0.009981099981814623,53.0,0.0,53.0,53.0,67.0,0.0,67.0,67.0,1045.0,0.0,1045.0,1045.0,1209.0,0.0,1209.0,1209.0,552.0,0.0,552.0,552.0,657.0,0.0,657.0,657.0,19.71698113207547,0.0,19.71698113207547,19.71698113207547,18.044776119402986,0.0,18.044776119402986,18.044776119402986
amplitude_resolution,sparse,8,6,3,9,512,1,8.0,0.0,8.0,8.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0008843999821692705,0.0,0.0008843999821692705,0.0008843999821692705,0.00778290000744164,0.0,0.00778290000744164,0.00778290000744164,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,208.0,0.0,208.0,208.0,287.0,0.0,287.0,287.0,102.0,0.0,102.0,102.0,185.0,0.0,185.0,185.0,9.904761904761905,0.0,9.904761904761905,9.904761904761905,8.2,0.0,8.2,8.2
amplitude_resolution,random,8,6,3,9,512,5,24.8,1.6431676725154984,23.0,27.0,0.5166666666666666,0.03423265984407287,0.4791666666666667,0.5625,0.001835180027410388,9.757045966518996e-05,0.0017191000515595078,0.0019884000066667795,0.011882420000620186,0.0013566447213539882,0.010844100033864379,0.014181700069457293,37.8,1.6431676725154984,36.0,40.0,51.8,1.6431676725154984,50.0,54.0,512.2,70.12631460443362,405.0,592.0,635.8,71.83801222194278,527.0,718.0,269.6,36.99729719857925,214.0,314.0,366.2,34.938517427046044,313.0,404.0,13.53914067914068,1.66104259723076,10.945945945945946,15.166666666666666,12.265928885600362,1.237406462194654,10.333333333333334,13.38
amplitude_resolution,dense,8,6,3,9,512,1,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,0.003393299994058907,0.0,0.003393299994058907,0.003393299994058907,0.012153799994848669,0.0,0.012153799994848669,0.012153799994848669,61.0,0.0,61.0,61.0,75.0,0.0,75.0,75.0,1251.0,0.0,1251.0,1251.0,1447.0,0.0,1447.0,1447.0,662.0,0.0,662.0,662.0,785.0,0.0,785.0,785.0,20.508196721311474,0.0,20.508196721311474,20.508196721311474,19.293333333333333,0.0,19.293333333333333,19.293333333333333
amplitude_resolution,sparse,8,7,3,10,1024,1,8.0,0.0,8.0,8.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0008486000588163733,0.0,0.0008486000588163733,0.0008486000588163733,0.006671199924312532,0.0,0.006671199924312532,0.006671199924312532,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,206.0,0.0,206.0,206.0,293.0,0.0,293.0,293.0,100.0,0.0,100.0,100.0,193.0,0.0,193.0,193.0,9.80952380952381,0.0,9.80952380952381,9.80952380952381,8.371428571428572,0.0,8.371428571428572,8.371428571428572
amplitude_resolution,random,8,7,3,10,1024,5,25.0,3.391164991562634,20.0,29.0,0.44642857142857145,0.060556517706475625,0.35714285714285715,0.5178571428571429,0.001783359982073307,0.00020624051884733153,0.0014616999542340636,0.0019851999823004007,0.01290488000959158,0.001651620764491143,0.010505200014449656,0.014575099921785295,38.0,3.391164991562634,33.0,42.0,52.0,3.391164991562634,47.0,56.0,516.4,101.20918930610995,375.0,644.0,645.0,108.02777420645118,487.0,781.0,272.8,53.82564444574724,198.0,342.0,372.2,54.56372421307035,289.0,439.0,13.522494935126515,1.8903041431525764,11.363636363636363,15.333333333333334,12.353456205177107,1.4984058169981957,10.361702127659575,13.946428571428571
amplitude_resolution,dense,8,7,3,10,1024,1,56.0,0.0,56.0,56.0,1.0,0.0,1.0,1.0,0.004123399965465069,0.0,0.004123399965465069,0.004123399965465069,0.013456800021231174,0.0,0.013456800021231174,0.013456800021231174,69.0,0.0,69.0,69.0,83.0,0.0,83.0,83.0,1457.0,0.0,1457.0,1457.0,1685.0,0.0,1685.0,1685.0,772.0,0.0,772.0,772.0,913.0,0.0,913.0,913.0,21.115942028985508,0.0,21.115942028985508,21.115942028985508,20.301204819277107,0.0,20.301204819277107,20.301204819277107
amplitude_resolution,sparse,8,8,3,11,2048,1,8.0,0.0,8.0,8.0,0.125,0.0,0.125,0.125,0.0008625999325886369,0.0,0.0008625999325886369,0.0008625999325886369,0.006999399978667498,0.0,0.006999399978667498,0.006999399978667498,21.0,0.0,21.0,21.0,35.0,0.0,35.0,35.0,203.0,0.0,203.0,203.0,299.0,0.0,299.0,299.0,98.0,0.0,98.0,98.0,201.0,0.0,201.0,201.0,9.666666666666666,0.0,9.666666666666666,9.666666666666666,8.542857142857143,0.0,8.542857142857143,8.542857142857143
amplitude_resolution,random,8,8,3,11,2048,5,30.4,6.767569726275452,19.0,36.0,0.475,0.10574327697305394,0.296875,0.5625,0.002190020005218685,0.0005046022042218344,0.001400599954649806,0.002791699953377247,0.012631340022198855,0.0013628263988139902,0.010559200076386333,0.01425729994662106,43.4,6.767569726275452,32.0,49.0,57.4,6.767569726275452,46.0,63.0,646.6,140.17596084921266,416.0,763.0,800.8,158.08605251571058,543.0,942.0,341.2,77.60927779589242,212.0,402.0,459.6,80.86284684575482,331.0,540.0,14.766179653679654,1.1205401550602851,13.0,15.645833333333334,13.834438080498922,1.2701937684775528,11.804347826086957,14.952380952380953
amplitude_resolution,dense,8,8,3,11,2048,1,64.0,0.0,64.0,64.0,1.0,0.0,1.0,1.0,0.0036699000047519803,0.0,0.0036699000047519803,0.0036699000047519803,0.01375380007084459,0.0,0.01375380007084459,0.01375380007084459,77.0,0.0,77.0,77.0,91.0,0.0,91.0,91.0,1663.0,0.0,1663.0,1663.0,1923.0,0.0,1923.0,1923.0,882.0,0.0,882.0,882.0,1041.0,0.0,1041.0,1041.0,21.5974025974026,0.0,21.5974025974026,21.5974025974026,21.13186813186813,0.0,21.13186813186813,21.13186813186813
