profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
dense,16,4,4,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,15,15,15.0,64,1.0,0.004211400053463876,0.017763800104148686,0.016763499937951565,0.0719696000451222,92,132,"{""h"": 4, ""mcx"": 64, ""x"": 64}",4096,4756,"{""cx"": 1640, ""rz"": 2512, ""sx"": 578, ""x"": 26}",1640,3116,44.52173913043478,36.03030303030303,signal_length
sparse,32,4,5,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,8,3.75,32,0.25,0.0034806999610736966,0.017390499939210713,0.012896500062197447,0.019153599976561964,91,197,"{""h"": 5, ""mcx"": 32, ""x"": 160}",2711,3203,"{""cx"": 1058, ""rz"": 1655, ""sx"": 433, ""x"": 57}",1058,2145,29.791208791208792,16.258883248730964,signal_length
random,32,4,5,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,8.65625,70,0.546875,0.0055859999265521765,0.048038699897006154,0.04253710003104061,0.05242840002756566,129,235,"{""h"": 5, ""mcx"": 70, ""x"": 160}",5918,6741,"{""cx"": 2286, ""rz"": 3505, ""sx"": 895, ""x"": 55}",2286,4455,45.87596899224806,28.685106382978724,signal_length
random,32,4,5,9,512,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,7.0625,62,0.484375,0.005869099986739457,0.019114900031127036,0.01810059999115765,0.0202298000222072,121,227,"{""h"": 5, ""mcx"": 62, ""x"": 160}",5370,6172,"{""cx"": 2078, ""rz"": 3212, ""sx"": 831, ""x"": 51}",2078,4094,44.3801652892562,27.18942731277533,signal_length
random,32,4,5,9,512,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,9.09375,71,0.5546875,0.004962399951182306,0.02542870002798736,0.023649100097827613,0.027201499906368554,130,236,"{""h"": 5, ""mcx"": 71, ""x"": 160}",6148,7055,"{""cx"": 2384, ""rz"": 3671, ""sx"": 945, ""x"": 55}",2384,4671,47.292307692307695,29.89406779661017,signal_length
random,32,4,5,9,512,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,6.9375,64,0.5,0.004544800030998886,0.04191639996133745,0.04035589995328337,0.043493399978615344,123,229,"{""h"": 5, ""mcx"": 64, ""x"": 160}",5319,6119,"{""cx"": 2062, ""rz"": 3185, ""sx"": 821, ""x"": 51}",2062,4057,43.24390243902439,26.72052401746725,signal_length
random,32,4,5,9,512,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,15,8.53125,70,0.546875,0.004827399970963597,0.04691599996294826,0.046056700055487454,0.0469920999603346,129,235,"{""h"": 5, ""mcx"": 70, ""x"": 160}",6040,6896,"{""cx"": 2332, ""rz"": 3588, ""sx"": 923, ""x"": 53}",2332,4564,46.82170542635659,29.34468085106383,signal_length
dense,32,4,5,9,512,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,15,15,15.0,128,1.0,0.008881399990059435,0.04971960000693798,0.03435700002592057,0.060104799922555685,187,293,"{""h"": 5, ""mcx"": 128, ""x"": 160}",11110,12779,"{""cx"": 4322, ""rz"": 6671, ""sx"": 1729, ""x"": 57}",4322,8457,59.411764705882355,43.61433447098976,signal_length
sparse,8,2,3,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,2,1.5,8,0.5,0.0009136999724432826,0.007257199962623417,0.0065728999907150865,0.00842279999051243,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",218,263,"{""cx"": 110, ""rz"": 133, ""sx"": 9, ""x"": 11}",110,153,10.380952380952381,7.514285714285714,amplitude_resolution
random,8,2,3,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,3,1.375,8,0.5,0.0017761000199243426,0.017809900105930865,0.012039599940180779,0.02116769994609058,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",208,257,"{""cx"": 104, ""rz"": 131, ""sx"": 13, ""x"": 9}",104,153,9.904761904761905,7.3428571428571425,amplitude_resolution
random,8,2,3,5,32,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,3,1.75,9,0.5625,0.0009880999568849802,0.006857900065369904,0.006226000026799738,0.007045899983495474,22,36,"{""h"": 3, ""mcx"": 9, ""x"": 24}",237,286,"{""cx"": 120, ""rz"": 146, ""sx"": 11, ""x"": 9}",120,166,10.772727272727273,7.944444444444445,amplitude_resolution
random,8,2,3,5,32,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,2,1.125,5,0.3125,0.0008563000010326505,0.006298899999819696,0.006021399982273579,0.008479799958877265,18,32,"{""h"": 3, ""mcx"": 5, ""x"": 24}",128,168,"{""cx"": 60, ""rz"": 86, ""sx"": 15, ""x"": 7}",60,108,7.111111111111111,5.25,amplitude_resolution
random,8,2,3,5,32,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,2,1.375,7,0.4375,0.0007470999844372272,0.00626140006352216,0.005995600018650293,0.00955619988963008,20,34,"{""h"": 3, ""mcx"": 7, ""x"": 24}",185,228,"{""cx"": 92, ""rz"": 116, ""sx"": 11, ""x"": 9}",92,136,9.25,6.705882352941177,amplitude_resolution
random,8,2,3,5,32,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,3,2.125,11,0.6875,0.0009827999165281653,0.007450800039805472,0.0067764000268653035,0.019757999922148883,24,38,"{""h"": 3, ""mcx"": 11, ""x"": 24}",291,346,"{""cx"": 148, ""rz"": 176, ""sx"": 11, ""x"": 11}",148,198,12.125,9.105263157894736,amplitude_resolution
dense,8,2,3,5,32,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,3,3,3.0,16,1.0,0.0017631000373512506,0.010844499920494854,0.007725099916569889,0.01271070004440844,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",427,495,"{""cx"": 222, ""rz"": 253, ""sx"": 9, ""x"": 11}",222,273,14.724137931034482,11.511627906976743,amplitude_resolution
